ID,Exchange,RemoteName,CLLIcode,Description
2545,NWCS,RT NWCS-MSCR MUSH CREEK,NWCS-MSCR,NWCS-MSCR
2546,NWCS,RT NWCS-SKCR SKULL CREEK,NWCS-SKCR,NWCS-SKCR
2547,NWCS,RT NWCS-GVRD GRIEVES RD,NWCS-GVRD,NWCS-GVRD
2548,NWCS,CSTH REMOTE,NWCSWYXCDS0,NWCS-CSTH
2549,NWCS,RT NWCS-BRDR BRUCE/DARLINGTON RD,NWCS-BRDR,NWCS-BRDR
2550,NWCS,RT NWCS-KELN KEELINE,NWCS-KELN,NWCS-KELN
2551,NWCS,RT NWCS-DLWR 2110 DELAWARE APTS,NWCS-DLWR,NWCS-DLWR
2552,NWCS,RT NWCS-SWTR SWEETWATER RD,NWCS-SWTR,NWCS-SWTR
2553,NEWCASTLE,RT NWCS-DEWY DEWEY,NWCSWYXCDS0,NWCS-DEWY
2554,NWCS,RT NWCS-EKMT ELK MOUNTAIN,NWCS-EKMT,NWCS-EKMT
2555,NWCS,ELEMENT NOT FOUND,NWCSWYXCDS0,NWCS-GLTC
2557,NEWCASTLE,RT NWCS-RLRD RAILROAD,NWCS-RLRD,NWCS-RLRD
2558,NWCS,RT NWCS-SCRD SALT CREEK RD,NWCS-SCRD,NWCS-SCRD_1
2559,OSAG,RT OSAG-SKUL SKULL CREEK RD,OSAG-SKUL,OSAG-SKUL
2561,OSAG,RT OSAG-CLSP CLAY SPUR RD,OSAG-CLSP,OSAG-CLSP
2563,HLTT,RT HLTT-ALVA ALVA,HLTT-ALVA,HLTT-ALVA
2564,HLTT,RT HLTT-OSHO OSHOTO,HLTT-OSHO,HLTT-OSHO
2565,MDWS,RT MDWS-TEPT TEAPOT,MDWS-TEPT,MDWS-TEPT
2566,NWCS,RT NWCS-OCRD OIL CREEK RD,NWCS-OCRD,NWCS-OCRD
2567,NWCS,RT NWCS-WPCN WHOOPUP CANYON,NWCS-WPCN,NWCS-WPCN
2768,BUSBY,BUSBY WEST,BSBYMTXCRS1,BSBY-BSBW
2769,BUSBY,BUSBY SOUTH,BSBYMTXCRS1,BSBY-BSBS
2770,BUSBY,HAMMOND RADIO 2,BSBYMTXCRS1,BSBY-HRD2
2771,BUSBY,HAMMOND E3-12,BSBYMTXCRS1,BSBY-HMMD
2772,BUSBY,HAMMOND RADIO 1,BSBYMTXCRS1,BSBY-HRD1
2773,BUSBY,BUSBY,BSBYMTXCRS1,BSBY-CO
2774,BUSBY,BOUNDARY HUT,BSBYMTXCRS1,BSBY-BNDY
2775,DECKER,SPRING CREEK,DCKRMTXCRS1,DCKR-SPCK
2776,DECKER,KIRBY,DCKRMTXCRS1,DECK-KRBY
