ID,Exchange,RemoteName,CLLIcode,InventoryItem,Route,Size,NumDucts,SubDuct1,SubDuct2,SubDuct3,Length,ConduitType,ConduitClass,WONumber,PostingState,TaxDist,DatePlaced,DateRetired,Ducts,FCCCode,TaxID,Cost,InUse,Color,Trench,LegacyID,DrawName,Handle,Matched_Map,Matched_MapID,Matched_RecordID,CompanyCode,CompanyCodeID,WIRECENTER_Id,TaxDistrict,Name,WONum,Comment,FromJUNCTION_Id,ToJUNCTION_Id,CONDUIT,CONDUIT2,YEAR,TypeSuffix,SizeSuffix,ACADLayer,ACADBlock,ACADFileName
3085,PNBL,,,,,2,DUCT,,,,78,,,,FPA,,,,,,,,,,,68226,M:\RT\PNBL\PINE BLUFFS.dwg,29827,,,,RT,,,,,,WHITE DUCT,66349,,,,2017,,,CONDUIT,_no_Value,PINE BLUFFS
3086,ALBN,,,,5200,,3/4PVC,,,,400,,,,FPA,,,,,,,,,,,44338,m:\rt\albn\albin.dwg,4201,,,,RT,33477,,,,,,56162,,,,8,,,CONDUIT,_no_Value,ALBIN
3087,PNBL,,,,,2,DUCT,,,,220,,,,FPA,,,,,,,,,,,68180,M:\RT\PNBL\PINE BLUFFS.dwg,29628,,,,RT,,,,,,RED DUCT,66410,,,,2017,,,CONDUIT,_no_Value,PINE BLUFFS
3091,PNBL,,,,,2,DUCT,,,,214,,,,FPA,,,,,,,,,,,68144,M:\RT\PNBL\PINE BLUFFS.dwg,2942C,,,,RT,,,,,,RED DUCT,66398,,,,2017,,,CONDUIT,_no_Value,PINE BLUFFS
3093,PNBL,,,,,2,SEBO,,,,146,,,,FPA,,,,,,,,,,,68199,M:\RT\PNBL\PINE BLUFFS.dwg,296A0,,,,RT,,,,,,,66426,,,,2017,,,CONDUIT,_no_Value,PINE BLUFFS
3094,PNBL,,,,,2,SEBO,,,,146,,,,FPA,,,,,,,,,,,68094,M:\RT\PNBL\PINE BLUFFS.dwg,291FF,,,,RT,,,,,,AQUA DUCT,66380,,,,2017,,,CONDUIT,_no_Value,PINE BLUFFS
3095,PNBL,,,,,2,DUCT,,,,140,,,,FPA,,,,,,,,,,,68156,M:\RT\PNBL\PINE BLUFFS.dwg,294000000000,,,,RT,,,,,,AQUA DUCT,66401,,,,2017,,,CONDUIT,_no_Value,PINE BLUFFS
3096,PNBL,,,,,2,DUCT,,,,235,,,,FPA,,,,,,,,,,,68089,M:\RT\PNBL\PINE BLUFFS.dwg,291C7,,,,RT,,,,,,SLATE DUCT,66378,,,,2017,,,CONDUIT,_no_Value,PINE BLUFFS
3098,BRNS,,,,,1.25,1X3,,,,388,BFOV,,,FPA,,,,,,,,,,,71491,M:\RT\BRNS\BURNS.dwg,5ED4F,,,,RT,,,,,,,67873,67872,,,2018,,,CONDUIT,_no_Value,BURNS
3099,PNBL,,,,,2,DUCT,,,,204,,,,FPA,,,,,,,,,,,68154,M:\RT\PNBL\PINE BLUFFS.dwg,294A4,,,,RT,,,,,,SLATE DUCT,66400,,,,2017,,,CONDUIT,_no_Value,PINE BLUFFS
3101,PNBL,,,,,2,DUCT,,,,195,,,,FPA,,,,,,,,,,,68119,M:\RT\PNBL\PINE BLUFFS.dwg,292F9,,,,RT,,,,,,RED DUCT,66385,,,,2017,,,CONDUIT,_no_Value,PINE BLUFFS
3103,PNBL,,,,,,BFO48I,,,,796,,,,FPA,,,,,,,,,,,67934,M:\RT\PNBL\PINE BLUFFS.dwg,28749,,,,RT,,,,,,,66405,66406,,,2017,,,CONDUIT,_no_Value,PINE BLUFFS
3105,BRNS,,,,,1.25,1,,,,1518,UD,,,FPA,,,,,,,,,,,58917,m:\rt\brns\burns.dwg,8C57,,,,RT,,,,,,,62612,62614,,,11,,,CONDUIT,_no_Value,BURNS
3106,PNBL,,,,1210,1.25,1X1,,,,1060,UD,,,FPA,,,,,,,,,,,66293,m:\rt\pnbl\pine bluffs.dwg,16108,,,,RT,779,,,,,,65554,65555,,,17,,,CONDUIT,_no_Value,PINE BLUFFS
3107,PNBL,,,,,2,DUCT,,,,85,,,,FPA,,,,,,,,,,,68052,M:\RT\PNBL\PINE BLUFFS.dwg,290A1,,,,RT,,,,,,,66449,,,,2017,,,CONDUIT,_no_Value,PINE BLUFFS
3108,PNBL,,,,,,DUCT,,,,131,,,,FPA,,,,,,,,,,,67951,M:\RT\PNBL\PINE BLUFFS.dwg,2.7E+088,,,,RT,,,,DROP,,RED DUCT,,,,,2017,,,CONDUIT,_no_Value,PINE BLUFFS
3109,,,,,,2,DUCT,,,,118,,,,FPA,,,,,,,,,,,68184,M:\RT\PNBL\PINE BLUFFS.dwg,29643,,,,RT,,,,,,WHITE DUCT,66411,,,,2017,,,CONDUIT,_no_Value,PINE BLUFFS
3110,ALBN,,,,L-5000,,"2""BIP",,,,64,,,,FPA,,,,,,,,,,,37642,m:\rt\albn\albin.dwg,80FF,,,,RT,22483,,,,,,,,,,,,,CONDUIT,_no_Value,ALBIN
3111,,,,,,2,DUCT,,,,94,,,,FPA,,,,,,,,,,,68654,M:\RT\PNBL\PINE BLUFFS.dwg,28372,,,,RT,,,,,,,,,,,2017,,,CONDUIT,_no_Value,PINE BLUFFS
3112,BRNS,,,,6000,1.25,1X1,,,,420,UD,,,FPA,,,,,,,,,,,66171,m:\rt\brns\burns.dwg,7E9B,,,,RT,31802,,,,,,,65535,,,2014,,,CONDUIT,_no_Value,BURNS
3113,BRNS,,,,,1.25,1,,,,3760,UD,,,FPA,,,,,,,,,,,58916,m:\rt\brns\burns.dwg,8C55,,,,RT,,,,,,,62611,62612,,,11,,,CONDUIT,_no_Value,BURNS
3114,,,,,,2,DUCT,,,,125,,,,FPA,,,,,,,,,,,68056,M:\RT\PNBL\PINE BLUFFS.dwg,290AF,,,,RT,,,,,,,66461,,,,2017,,,CONDUIT,_no_Value,PINE BLUFFS
3116,PNBL,,,,,2,SEBO,,,,105,,,,FPA,,,,,,,,,,,68091,M:\RT\PNBL\PINE BLUFFS.dwg,291FC,,,,RT,,,,,,RED DUCT,66379,,,,2017,,,CONDUIT,_no_Value,PINE BLUFFS
3118,BRNS,,,,,1.25,1,,,,490,UD,,,FPA,,,,,,,,,,,58901,m:\rt\brns\burns.dwg,31DB,,,,RT,,,,,,,62600,62601,,,11,,,CONDUIT,_no_Value,BURNS
3119,PNBL,,,,,,DUCT,,,,168,,,,FPA,,,,,,,,,,,67953,M:\RT\PNBL\PINE BLUFFS.dwg,27E8B,,,,RT,,,,DROP,,WHITE DUCT,,,,,2017,,,CONDUIT,_no_Value,PINE BLUFFS
3120,PNBL,,,,,2,DUCT,,,,255,,,,FPA,,,,,,,,,,,68178,M:\RT\PNBL\PINE BLUFFS.dwg,295D0,,,,RT,,,,,,WHITE DUCT,66414,,,,2017,,,CONDUIT,_no_Value,PINE BLUFFS
3121,PNBL,,,,,2,DUCT,,,,168,,,,FPA,,,,,,,,,,,68030,M:\RT\PNBL\PINE BLUFFS.dwg,28FF5,,,,RT,,,,,,,66437,,,,2017,,,CONDUIT,_no_Value,PINE BLUFFS
3124,PNBL,,,,,,BFO12I,,,,683,,,,FPA,,,,,,,,,,,67911,M:\RT\PNBL\PINE BLUFFS.dwg,282F5,,,,RT,,,,PNBL11,,,31007,66386,,,2017,,,CONDUIT,_no_Value,PINE BLUFFS
3125,PNBL,,,,,2,SEBO,,,,65,,,,FPA,,,,,,,,,,,68039,M:\RT\PNBL\PINE BLUFFS.dwg,29013,,,,RT,,,,,,,66446,,,,2017,,,CONDUIT,_no_Value,PINE BLUFFS
3126,PNBL,,,,,2,DUCT,,,,115,,,,FPA,,,,,,,,,,,68076,M:\RT\PNBL\PINE BLUFFS.dwg,28D6C,,,,RT,,,,,,,66451,,,,2017,,,CONDUIT,_no_Value,PINE BLUFFS
3131,,,,,,2,DUCT,,,,110,,,,FPA,,,,,,,,,,,68653,M:\RT\PNBL\PINE BLUFFS.dwg,28237,,,,RT,,,,,,,,,,,2017,,,CONDUIT,_no_Value,PINE BLUFFS
